City,Business Type,Name,Address,Phone Number,Opening Hours
Paris,cbd shop,"CBD SHOP PARIS Boutique De CBD,THCP,HHCP,VMAC,HHC,HDH,THCV,H4CBD,HHCPO","54 Av. de Flandre, 75019 Paris, France",07 49 66 17 31,"Monday: 10:00 AM – 10:00 PM, Tuesday: 10:00 AM – 10:00 PM, Wednesday: 10:00 AM – 10:00 PM, Thursday: 10:00 AM – 10:00 PM, Friday: 10:00 AM – 10:00 PM, Saturday: 10:00 AM – 10:00 PM, Sunday: 10:30 AM – 10:00 PM"
Paris,cbd shop,CBD Paris 18 - Deli Hemp Montmartre,"19 Rue Muller, 75018 Paris, France",06 59 13 15 39,"Monday: 2:30 – 10:00 PM, Tuesday: Closed, Wednesday: 3:00 – 10:00 PM, Thursday: 3:30 – 10:00 PM, Friday: 3:30 – 10:30 PM, Saturday: 3:30 – 10:30 PM, Sunday: 3:30 – 10:00 PM"
Paris,cbd shop,CBD Paris 15 - Nature Verte,"186 Rue de la Convention, 75015 Paris, France",06 10 16 76 09,
Paris,cbd shop,CUP OF SMOKE CBD Paris Shop,"CUP OF SMOKE, 62 Rue Sedaine, 75011 Paris, France",06 21 99 19 31,"Monday: 12:00 – 9:30 PM, Tuesday: 12:00 – 9:30 PM, Wednesday: 12:00 – 9:30 PM, Thursday: 12:00 – 9:30 PM, Friday: 12:00 – 9:30 PM, Saturday: 12:00 – 9:30 PM, Sunday: Closed"
Paris,cbd shop,BEUD - CBD Shop paris 5,"6 Rue Dante, 75005 Paris, France",09 52 26 49 80,"Monday: 11:00 AM – 8:00 PM, Tuesday: 11:00 AM – 8:00 PM, Wednesday: 11:00 AM – 8:00 PM, Thursday: 11:00 AM – 8:00 PM, Friday: 11:00 AM – 8:00 PM, Saturday: 11:00 AM – 8:00 PM, Sunday: 11:00 AM – 7:30 PM"
Paris,cbd shop,CBD SHOP PARIS Magasin De CBD,"180 Av. de Clichy, 75017 Paris, France",01 42 63 25 19,"Monday: 10:30 AM – 7:30 PM, Tuesday: 10:30 AM – 7:30 PM, Wednesday: 10:30 AM – 7:30 PM, Thursday: 10:30 AM – 7:30 PM, Friday: 10:30 AM – 4:00 PM, Saturday: Closed, Sunday: Closed"
Paris,cbd shop,CBD Shop,"156 Rue La Fayette, 75010 Paris, France",,"Monday: 6:00 AM – 8:30 PM, Tuesday: 6:00 AM – 8:30 PM, Wednesday: 6:00 AM – 8:30 PM, Thursday: 6:00 AM – 8:30 PM, Friday: 6:00 AM – 8:30 PM, Saturday: 7:00 AM – 8:30 PM, Sunday: Closed"
Paris,cbd shop,Deli-Hemp,"33 Rue Mazarine, 75006 Paris, France",07 53 08 31 84,"Monday: 11:00 AM – 8:00 PM, Tuesday: 11:00 AM – 8:00 PM, Wednesday: 11:00 AM – 8:00 PM, Thursday: 11:00 AM – 8:00 PM, Friday: 11:00 AM – 8:00 PM, Saturday: 11:00 AM – 8:00 PM, Sunday: Closed"
Paris,cbd shop,Deli Hemp CBD Shop,"95 Rue de Belleville, 75019 Paris, France",09 54 21 24 00,"Monday: 11:00 AM – 8:00 PM, Tuesday: 11:00 AM – 8:00 PM, Wednesday: 11:00 AM – 8:00 PM, Thursday: 11:00 AM – 8:00 PM, Friday: 11:00 AM – 8:00 PM, Saturday: 11:00 AM – 8:00 PM, Sunday: 11:00 AM – 8:00 PM"
Paris,cbd shop,Belle Des Chanvres CBD Shop,"77 Rue de Bagnolet, 75020 Paris, France",01 86 04 07 28,"Monday: 2:00 – 8:00 PM, Tuesday: 2:00 – 8:00 PM, Wednesday: 2:00 – 8:00 PM, Thursday: 2:00 – 8:00 PM, Friday: 2:00 – 8:00 PM, Saturday: 2:00 – 8:00 PM, Sunday: 2:00 – 8:00 PM"
