Shop Type,Name,Address,Phone Number,Has Website,Opening Hours
Local Coffee Shops,Cuply.com,"Route de l’Orme des Merisiers Parc technologique de, 91190 Saint-Aubin, France",01 60 19 16 44,True,"Monday: 8:30 AM – 4:30 PM, Tuesday: 8:30 AM – 4:30 PM, Wednesday: 8:30 AM – 4:30 PM, Thursday: 8:30 AM – 4:30 PM, Friday: 8:30 AM – 4:30 PM, Saturday: 8:30 AM – 4:30 PM, Sunday: Closed"
Local Coffee Shops,Bar Tabac du Moulon - Café Bar CBD puff la Vape Gif sur Yvette,"41 Mail Pierre Potier, 91190 Gif-sur-Yvette, France",01 80 00 56 73,False,"Monday: 8:30 AM – 8:00 PM, Tuesday: 8:30 AM – 8:00 PM, Wednesday: 8:30 AM – 8:00 PM, Thursday: 8:30 AM – 8:00 PM, Friday: 8:30 AM – 8:00 PM, Saturday: 9:00 AM – 6:00 PM, Sunday: Closed"
Local Coffee Shops,PROTO204,"204 Rue André Ampère, 91440 Bures-sur-Yvette, France",,False,"Monday: 12:30 – 8:00 PM, Tuesday: 12:30 – 8:00 PM, Wednesday: 12:30 – 8:00 PM, Thursday: 12:30 – 8:00 PM, Friday: 12:30 – 8:00 PM, Saturday: 12:30 – 8:00 PM, Sunday: 12:30 – 8:00 PM"
Local Coffee Shops,Tabac de la mairie Bures sur Yvette,"42 Rue Charles de Gaulle, 91440 Bures-sur-Yvette, France",01 69 07 48 33,False,"Monday: 7:00 AM – 8:00 PM, Tuesday: 7:00 AM – 8:00 PM, Wednesday: 7:00 AM – 8:00 PM, Thursday: 7:00 AM – 8:00 PM, Friday: 7:00 AM – 8:00 PM, Saturday: 8:00 AM – 8:00 PM, Sunday: 8:00 AM – 2:00 PM"
Local Coffee Shops,"Coffea, boutique de café et de thé aux Ulis","Centre Commercial, 2 Av. de l'Aubrac, 91940 Les Ulis, France",01 60 19 69 46,True,"Monday: 9:30 AM – 8:00 PM, Tuesday: 9:30 AM – 8:00 PM, Wednesday: 9:30 AM – 8:00 PM, Thursday: 9:30 AM – 8:00 PM, Friday: 9:30 AM – 8:00 PM, Saturday: 9:30 AM – 8:00 PM, Sunday: Closed"
Local Coffee Shops,Before After Coffee,"12 Av. du 8 Mai 1945, 91120 Palaiseau, France",01 60 11 83 96,True,"Monday: Closed, Tuesday: 11:00 AM – 9:30 PM, Wednesday: 11:00 AM – 9:30 PM, Thursday: 11:00 AM – 9:30 PM, Friday: 11:00 AM – 10:30 PM, Saturday: 11:00 AM – 10:30 PM, Sunday: 11:00 AM – 9:30 PM"
Local Coffee Shops,Dorlau'Thé,"20 Rue Archangé, 91400 Orsay, France",09 88 58 76 74,True,"Monday: Closed, Tuesday: 11:00 AM – 6:00 PM, Wednesday: 9:00 AM – 6:00 PM, Thursday: 11:00 AM – 6:00 PM, Friday: 9:00 AM – 6:00 PM, Saturday: 10:00 AM – 6:00 PM, Sunday: Closed"
Local Coffee Shops,Hostel and specialty coffee,"22 Rue Saint-Séverin, 75005 Paris, France",,False,"Monday: Open 24 hours, Tuesday: Open 24 hours, Wednesday: Open 24 hours, Thursday: Open 24 hours, Friday: Open 24 hours, Saturday: Open 24 hours, Sunday: Open 24 hours"
Local Coffee Shops,The Stray Bean,"6 Rue Royale, 78000 Versailles, France",01 39 51 91 61,True,"Monday: Closed, Tuesday: 8:30 AM – 5:30 PM, Wednesday: 8:30 AM – 5:30 PM, Thursday: 8:30 AM – 5:30 PM, Friday: 8:30 AM – 5:30 PM, Saturday: 8:30 AM – 5:30 PM, Sunday: 10:00 AM – 5:30 PM"
Local Coffee Shops,Jad coffee,"Rte de Longjumeau, 91160 Longjumeau, France",,False,
Local Coffee Shops,Good News Coffee Shop,"27 bis Rue Mademoiselle, 75015 Paris, France",,True,"Monday: 8:15 AM – 5:00 PM, Tuesday: 8:15 AM – 5:00 PM, Wednesday: 8:15 AM – 5:00 PM, Thursday: 8:15 AM – 5:00 PM, Friday: 8:15 AM – 5:00 PM, Saturday: 9:30 AM – 5:00 PM, Sunday: 10:00 AM – 5:00 PM"
Local Coffee Shops,Terres de Café Versailles,"6 Rue des 2 Portes, 78000 Versailles, France",09 88 42 21 91,True,"Monday: Closed, Tuesday: 10:00 AM – 6:30 PM, Wednesday: 10:00 AM – 6:30 PM, Thursday: 10:00 AM – 6:30 PM, Friday: 10:00 AM – 6:30 PM, Saturday: 10:00 AM – 6:30 PM, Sunday: 10:00 AM – 3:30 PM"
Local Coffee Shops,Coffee culture,"6 Rue du 4 septembre, 75002 Paris, France",,False,
Local Coffee Shops,O Coffee,"23 Rue de Lourmel, 75015 Paris, France",01 45 79 69 89,True,"Monday: Closed, Tuesday: 8:30 AM – 5:30 PM, Wednesday: 8:30 AM – 5:30 PM, Thursday: 8:30 AM – 5:30 PM, Friday: 8:30 AM – 5:30 PM, Saturday: 9:30 AM – 3:30 PM, Sunday: Closed"
Local Coffee Shops,Coutume La Grande Epicerie De Paris,"La Grande Epicerie De Paris Rive Droite, 78 Rue de Passy, 75016 Paris, France",,True,"Monday: 9:00 AM – 8:00 PM, Tuesday: 9:00 AM – 8:00 PM, Wednesday: 9:00 AM – 8:00 PM, Thursday: 9:00 AM – 8:00 PM, Friday: 9:00 AM – 8:00 PM, Saturday: 9:00 AM – 8:00 PM, Sunday: 9:00 AM – 12:30 PM"
Local Coffee Shops,Télescope Café,"5 Rue Villédo, 75001 Paris, France",,True,"Monday: 8:30 AM – 4:00 PM, Tuesday: 8:30 AM – 4:00 PM, Wednesday: 8:30 AM – 4:00 PM, Thursday: 8:30 AM – 4:00 PM, Friday: 8:30 AM – 4:00 PM, Saturday: Closed, Sunday: Closed"
Local Coffee Shops,CAFET'O CAFE SHOP,"31 Rue Viala, 75015 Paris, France",01 71 60 23 65,True,"Monday: 7:30 AM – 5:00 PM, Tuesday: 7:30 AM – 5:00 PM, Wednesday: 7:30 AM – 5:00 PM, Thursday: 7:30 AM – 5:00 PM, Friday: 7:30 AM – 6:00 PM, Saturday: 8:00 AM – 6:00 PM, Sunday: Closed"
Local Coffee Shops,Le Tilleli's Coffee,"Av. Roger Salengro, 92370 Chaville, France",09 73 62 55 04,False,"Monday: 9:30 AM – 3:30 PM, Tuesday: 9:30 AM – 3:30 PM, Wednesday: 9:30 AM – 3:00 PM, 7:00 – 10:00 PM, Thursday: 9:30 AM – 3:30 PM, Friday: 9:30 AM – 3:00 PM, 7:00 – 10:00 PM, Saturday: 9:30 AM – 3:00 PM, 7:00 – 10:00 PM, Sunday: Closed"
Local Coffee Shops,Cuppa Gallery,"86 Rue de l'Université, 75007 Paris, France",01 45 01 20 53,True,"Monday: 9:00 AM – 4:30 PM, Tuesday: 9:00 AM – 4:30 PM, Wednesday: 9:00 AM – 4:30 PM, Thursday: 9:00 AM – 4:30 PM, Friday: 9:00 AM – 4:30 PM, Saturday: 10:00 AM – 6:00 PM, Sunday: 10:00 AM – 6:00 PM"
Local Coffee Shops,The Coffee,"40 Rue des Gravilliers, 75003 Paris, France",,True,"Monday: 7:30 AM – 7:00 PM, Tuesday: 7:30 AM – 7:00 PM, Wednesday: 7:30 AM – 7:00 PM, Thursday: 7:30 AM – 7:00 PM, Friday: 7:30 AM – 7:00 PM, Saturday: 9:30 AM – 7:00 PM, Sunday: Closed"
Local Coffee Shops,Warung Ambatukàm,"19 Av. de Suffren, 75007 Paris, France",,False,
Local Coffee Shops,Bleu Olive,"184 Rue de Grenelle, 75007 Paris, France",01 74 64 69 89,True,"Monday: 8:30 AM – 6:00 PM, Tuesday: 8:30 AM – 6:00 PM, Wednesday: 8:30 AM – 6:00 PM, Thursday: 8:30 AM – 6:00 PM, Friday: 8:30 AM – 6:00 PM, Saturday: 10:00 AM – 6:00 PM, Sunday: Closed"
Local Coffee Shops,Noir - Coffee Shop & Torréfacteur,"32 Rue Gustave Courbet, 75116 Paris, France",07 80 98 21 97,True,"Monday: 8:00 AM – 6:00 PM, Tuesday: 8:00 AM – 6:00 PM, Wednesday: 8:00 AM – 6:00 PM, Thursday: 8:00 AM – 6:00 PM, Friday: 8:00 AM – 7:00 PM, Saturday: 9:00 AM – 7:00 PM, Sunday: 9:00 AM – 6:00 PM"
Local Coffee Shops,The Caféothèque of Paris,"52 Rue de l'Hôtel de ville, 75004 Paris, France",01 53 01 83 84,True,"Monday: 9:00 AM – 6:15 PM, Tuesday: 9:00 AM – 6:15 PM, Wednesday: 9:00 AM – 6:15 PM, Thursday: 9:00 AM – 6:15 PM, Friday: 9:00 AM – 6:15 PM, Saturday: 9:00 AM – 6:15 PM, Sunday: 10:00 AM – 6:15 PM"
Local Coffee Shops,The Coffee,"2 Rue Saint-Gilles, 75003 Paris, France",,True,"Monday: 8:00 AM – 7:00 PM, Tuesday: 8:00 AM – 7:00 PM, Wednesday: 8:00 AM – 7:00 PM, Thursday: 8:00 AM – 7:00 PM, Friday: 8:00 AM – 7:00 PM, Saturday: 9:30 AM – 7:00 PM, Sunday: Closed"
Local Coffee Shops,Partisan Café Artisanal,"36 R. de Turbigo, 75003 Paris, France",06 08 25 88 32,True,"Monday: 8:30 AM – 6:00 PM, Tuesday: 8:30 AM – 6:00 PM, Wednesday: 8:30 AM – 6:00 PM, Thursday: 8:30 AM – 6:00 PM, Friday: 8:30 AM – 6:00 PM, Saturday: 9:00 AM – 6:30 PM, Sunday: 9:00 AM – 6:30 PM"
Local Coffee Shops,Motors Coffee,"7 Rue des Halles, 75001 Paris, France",,True,"Monday: 8:00 AM – 6:00 PM, Tuesday: 8:00 AM – 6:00 PM, Wednesday: 8:00 AM – 6:00 PM, Thursday: 8:00 AM – 6:00 PM, Friday: 8:00 AM – 6:00 PM, Saturday: 8:00 AM – 6:00 PM, Sunday: 10:00 AM – 6:00 PM"
Local Coffee Shops,The Coffee,"33 Rue Mazarine, 75006 Paris, France",,True,"Monday: 8:30 AM – 7:00 PM, Tuesday: 8:30 AM – 7:00 PM, Wednesday: 8:30 AM – 7:00 PM, Thursday: 8:30 AM – 7:00 PM, Friday: 8:30 AM – 7:00 PM, Saturday: 9:00 AM – 7:00 PM, Sunday: 9:00 AM – 7:00 PM"
Local Coffee Shops,Café d’Auteur « Specialty Coffee Paris »,"39 Rue Mazarine, 75006 Paris, France",06 14 91 39 92,True,"Monday: 8:00 AM – 5:00 PM, Tuesday: 8:00 AM – 5:00 PM, Wednesday: Closed, Thursday: 9:00 AM – 6:00 PM, Friday: 10:00 AM – 7:00 PM, Saturday: 9:00 AM – 8:00 PM, Sunday: 1:00 – 7:00 PM"
Local Coffee Shops,BlackBird Coffee,"77 Rue du Temple, 75003 Paris, France",06 73 17 03 80,False,"Monday: 8:30 AM – 5:30 PM, Tuesday: 8:30 AM – 5:30 PM, Wednesday: 8:30 AM – 5:30 PM, Thursday: 8:30 AM – 5:30 PM, Friday: 8:30 AM – 5:30 PM, Saturday: 9:30 AM – 6:00 PM, Sunday: 10:00 AM – 6:00 PM"
Local Coffee Shops,Café Nuances,"25 Rue Danielle Casanova, 75001 Paris, France",,True,"Monday: 8:00 AM – 6:00 PM, Tuesday: 8:00 AM – 6:00 PM, Wednesday: 8:00 AM – 6:00 PM, Thursday: 8:00 AM – 6:00 PM, Friday: 8:00 AM – 6:00 PM, Saturday: 9:00 AM – 6:00 PM, Sunday: 9:00 AM – 6:00 PM"
Local Coffee Shops,ESCOCAFE,"8 Rue d'Ormesson, 75004 Paris, France",07 69 08 49 53,True,"Monday: 2:30 – 6:00 PM, Tuesday: 10:30 AM – 6:00 PM, Wednesday: 10:30 AM – 6:00 PM, Thursday: 10:30 AM – 6:00 PM, Friday: 10:30 AM – 6:00 PM, Saturday: 10:30 AM – 6:00 PM, Sunday: 11:30 AM – 6:00 PM"
Local Coffee Shops,Matamata Coffee,"58 Rue d'Argout, 75002 Paris, France",,True,"Monday: 8:00 AM – 12:00 PM, 12:30 – 6:00 PM, Tuesday: 8:00 AM – 12:00 PM, 12:30 – 6:00 PM, Wednesday: 8:00 AM – 12:00 PM, 12:30 – 6:00 PM, Thursday: 8:00 AM – 12:00 PM, 12:30 – 6:00 PM, Friday: 8:00 AM – 12:00 PM, 12:30 – 6:00 PM, Saturday: 9:00 AM – 12:00 PM, 12:30 – 6:00 PM, Sunday: 9:00 AM – 12:00 PM, 12:30 – 6:00 PM"
Local Coffee Shops,Kozy Bosquet,"79 Av. Bosquet, 75007 Paris, France",,True,"Monday: 8:00 AM – 3:30 PM, Tuesday: 8:00 AM – 3:30 PM, Wednesday: 8:00 AM – 3:30 PM, Thursday: 8:00 AM – 3:30 PM, Friday: 8:00 AM – 3:30 PM, Saturday: 9:00 AM – 5:00 PM, Sunday: 9:00 AM – 5:00 PM"
