City,Business Type,Name,Address,Phone Number,Opening Hours
Paris,Local Coffee Shops,I.O Café,"16 Rue Dupetit-Thouars, 75003 Paris, France",,"Monday: 8:30 AM – 6:00 PM, Tuesday: 8:30 AM – 6:00 PM, Wednesday: 8:30 AM – 6:00 PM, Thursday: 8:30 AM – 6:00 PM, Friday: 8:30 AM – 6:00 PM, Saturday: 10:00 AM – 6:00 PM, Sunday: 10:00 AM – 6:00 PM"
Paris,Local Coffee Shops,Boot Café,"19 Rue du Pont aux Choux, 75003 Paris, France",01 73 70 14 57,"Monday: Closed, Tuesday: Closed, Wednesday: Closed, Thursday: 10:00 AM – 5:00 PM, Friday: 10:00 AM – 5:00 PM, Saturday: 10:00 AM – 5:00 PM, Sunday: 10:00 AM – 5:00 PM"
Paris,Local Coffee Shops,Café Caractère,"2 Rue des Taillandiers, 75011 Paris, France",,"Monday: 8:30 AM – 6:00 PM, Tuesday: 8:30 AM – 6:00 PM, Wednesday: 8:30 AM – 6:00 PM, Thursday: 8:30 AM – 6:00 PM, Friday: 8:30 AM – 6:00 PM, Saturday: 9:00 AM – 6:00 PM, Sunday: 9:00 AM – 6:00 PM"
Paris,Local Coffee Shops,République of Coffee,"2 Bd Saint-Martin, 75010 Paris, France",09 83 35 38 13,"Monday: 8:30 AM – 7:00 PM, Tuesday: 8:30 AM – 7:00 PM, Wednesday: 8:30 AM – 7:00 PM, Thursday: 8:30 AM – 7:00 PM, Friday: 8:30 AM – 7:00 PM, Saturday: 9:00 AM – 7:00 PM, Sunday: 9:00 AM – 7:00 PM"
Paris,Local Coffee Shops,Ob-La-Di,"54 Rue de Saintonge, 75003 Paris, France",,"Monday: Closed, Tuesday: Closed, Wednesday: 9:00 AM – 4:00 PM, Thursday: 9:00 AM – 4:00 PM, Friday: 9:00 AM – 4:00 PM, Saturday: 9:00 AM – 5:00 PM, Sunday: 9:00 AM – 5:00 PM"
Paris,Local Coffee Shops,BlackBird Coffee,"77 Rue du Temple, 75003 Paris, France",06 73 17 03 80,"Monday: 8:30 AM – 5:30 PM, Tuesday: 8:30 AM – 5:30 PM, Wednesday: 8:30 AM – 5:30 PM, Thursday: 8:30 AM – 5:30 PM, Friday: 8:30 AM – 5:30 PM, Saturday: 9:30 AM – 6:00 PM, Sunday: 10:00 AM – 6:00 PM"
Paris,Local Coffee Shops,Noir - Coffee Shop & Torréfacteur,"1 Rue Bourdaloue, 75009 Paris, France",,"Monday: 8:00 AM – 12:00 PM, 12:30 – 6:00 PM, Tuesday: 8:00 AM – 12:00 PM, 12:30 – 6:00 PM, Wednesday: 8:00 AM – 12:00 PM, 12:30 – 6:00 PM, Thursday: 8:00 AM – 12:00 PM, 12:30 – 6:00 PM, Friday: 8:00 AM – 12:00 PM, 12:30 – 7:00 PM, Saturday: 9:00 AM – 12:00 PM, 12:30 – 7:00 PM, Sunday: 9:00 AM – 12:00 PM, 12:30 – 6:00 PM"
Paris,Boutique Clothing Stores,Front De Mode - store de mode eco-friendly de vêtements/art de vivre pour un futur chic durable,"42 Rue Volta, 75003 Paris, France",09 80 63 16 33,"Monday: Closed, Tuesday: 11:00 AM – 7:00 PM, Wednesday: 11:00 AM – 7:00 PM, Thursday: 11:00 AM – 7:00 PM, Friday: 11:00 AM – 7:00 PM, Saturday: 11:00 AM – 7:00 PM, Sunday: Closed"
Paris,Boutique Clothing Stores,Leneuf34,"31 Rue La Fayette, 75009 Paris, France",06 32 05 55 62,"Monday: 10:00 AM – 7:00 PM, Tuesday: 10:00 AM – 7:00 PM, Wednesday: 10:00 AM – 7:00 PM, Thursday: 10:00 AM – 7:00 PM, Friday: 10:00 AM – 7:00 PM, Saturday: 10:00 AM – 7:00 PM, Sunday: Closed"
Paris,Boutique Clothing Stores,FASHIONANNA,"125 Rue de l'Université, 75007 Paris, France",06 24 52 16 39,"Monday: 10:30 AM – 7:30 PM, Tuesday: 10:30 AM – 7:30 PM, Wednesday: 10:30 AM – 7:30 PM, Thursday: 10:30 AM – 7:30 PM, Friday: 10:30 AM – 7:30 PM, Saturday: 10:30 AM – 7:30 PM, Sunday: Closed"
